code,rearing temp,current temp,spore source,bodysize,terminal infection,lifespan,status,fecundity,mature spore count1,mature spore count2,mature spore count3,mature spore count4,immature spore count1,immature spore count2,immature spore count3,immature spore count4,avg mature spore count,avg immature spore count,avg total spore count,prop of spore maturation,mature spore count controlling for volume,immature spore count controlling for volume,total spore count controlling for volume
CC1,control,control,IC29,1331.99,1,19,2,35,81,110,120,112,38,45,62,46,105.75,47.75,153.5,0.688925081,1057500,477500,1535000
CC2,control,control,IC31,1354.53,0,24,2,67,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
CC3,control,control,IC29,1399.63,1,14,2,27,123,120,124,88,68,92,93,39,113.75,73,186.75,0.609103079,1137500,730000,1867500
CC4,control,control,IC31,1427.84,1,14,2,45,125,129,162,144,117,81,114,125,140,109.25,249.25,0.561685055,1400000,1092500,2492500
CC5,control,control,IC26,1411.94,0,27,1,132,,,,,,,,,,,,,,,
CC6,control,control,IC26,1511.18,0,27,1,95,,,,,,,,,,,,,,,
CC8,control,control,IC10,1428.47,1,15,2,46,121,112,135,155,117,88,125,123,130.75,113.25,244,0.535860656,1307500,1132500,2440000
CC10,control,control,IC8,1489.2,1,14,2,34,163,141,170,148,102,105,122,114,155.5,110.75,266.25,0.584037559,1555000,1107500,2662500
CC11,control,control,IC7,1366.26,1,17,2,37,109,123,114,138,98,98,110,91,121,99.25,220.25,0.549375709,1210000,992500,2202500
CC12,control,control,IC6,1629.94,1,12,2,62,159,108,124,133,127,95,123,100,131,111.25,242.25,0.540763674,1310000,1112500,2422500
CC13,control,control,IC13,1540.72,1,13,2,40,94,103,110,126,79,72,89,85,108.25,81.25,189.5,0.571240106,1082500,812500,1895000
CC14,control,control,IC10,1483.82,1,10,2,37,98,94,114,117,134,154,151,143,105.75,145.5,251.25,0.420895522,1057500,1455000,2512500
CC15,control,control,IC9,1529.63,1,10,2,42,124,120,135,105,103,107,111,93,121,103.5,224.5,0.538975501,1210000,1035000,2245000
